Series id,Year,Period,Value
LNS14000000,2013,M06,7.5
LNS14000000,2013,M07,7.3
LNS14000000,2013,M08,7.2
LNS14000000,2013,M09,7.2
LNS14000000,2013,M10,7.2
LNS14000000,2013,M11,6.9
LNS14000000,2013,M12,6.7
LNS14000000,2014,M01,6.6
LNS14000000,2014,M02,6.7
LNS14000000,2014,M03,6.7
LNS14000000,2014,M04,6.3
LNS14000000,2014,M05,6.3
LNS14000000,2014,M06,6.1
LNS14000000,2014,M07,6.2
LNS14000000,2014,M08,6.2
LNS14000000,2014,M09,5.9
LNS14000000,2014,M10,5.7
LNS14000000,2014,M11,5.8
LNS14000000,2014,M12,5.6
LNS14000000,2015,M01,5.7
LNS14000000,2015,M02,5.5
LNS14000000,2015,M03,5.5
LNS14000000,2015,M04,5.4
LNS14000000,2015,M05,5.5
LNS14000000,2015,M06,5.3
LNS14000000,2015,M07,5.2
LNS14000000,2015,M08,5.1
LNS14000000,2015,M09,5
LNS14000000,2015,M10,5
LNS14000000,2015,M11,5
LNS14000000,2015,M12,5
LNS14000000,2016,M01,4.9
LNS14000000,2016,M02,4.9
LNS14000000,2016,M03,5
LNS14000000,2016,M04,5
LNS14000000,2016,M05,4.7
LNS14000000,2016,M06,4.9
LNS14000000,2016,M07,4.9
LNS14000000,2016,M08,4.9
LNS14000000,2016,M09,5
LNS14000000,2016,M10,4.9
LNS14000000,2016,M11,4.6
LNS14000000,2016,M12,4.7
LNS14000000,2017,M01,4.8
LNS14000000,2017,M02,4.7
LNS14000000,2017,M03,4.5
LNS14000000,2017,M04,4.4
LNS14000000,2017,M05,4.3
LNS14000000,2017,M06,4.3
LNS14000000,2017,M07,4.3
LNS14000000,2017,M08,4.4
LNS14000000,2017,M09,4.2
LNS14000000,2017,M10,4.1
LNS14000000,2017,M11,4.1
LNS14000000,2017,M12,4.1
LNS14000000,2018,M01,4.1
LNS14000000,2018,M02,4.1
LNS14000000,2018,M03,4.1
LNS14000000,2018,M04,3.9
