"Date","Price","Open","High","Low","Change %"
"May 24, 2018","-0.619","-0.624","-0.597","-0.636","0.52%"
"May 23, 2018","-0.616","-0.600","-0.582","-0.632","2.46%"
"May 22, 2018","-0.601","-0.613","-0.577","-0.621","-1.88%"
"May 21, 2018","-0.613","-0.588","-0.567","-0.621","4.30%"
"May 20, 2018","-0.588","-0.588","-0.588","-0.588","6.43%"
"May 19, 2018","-0.552","-0.587","-0.552","-0.587","-4.13%"
"May 18, 2018","-0.576","-0.547","-0.545","-0.587","5.11%"
"May 17, 2018","-0.548","-0.554","-0.539","-0.576","-3.01%"
"May 16, 2018","-0.565","-0.548","-0.533","-0.571","5.21%"
"May 15, 2018","-0.537","-0.535","-0.526","-0.546","0.19%"
"May 14, 2018","-0.536","-0.517","-0.517","-0.575","-6.15%"
"May 13, 2018","-0.571","-0.571","-0.571","-0.571","-0.21%"
"May 12, 2018","-0.572","-0.570","-0.570","-0.572","0.76%"
"May 11, 2018","-0.568","-0.564","-0.556","-0.577","0.00%"
"May 10, 2018","-0.568","-0.565","-0.549","-0.580","2.16%"
"May 09, 2018","-0.556","-0.563","-0.544","-0.569","-0.89%"
"May 08, 2018","-0.561","-0.569","-0.550","-0.572","-1.06%"
"May 07, 2018","-0.567","-0.560","-0.557","-0.573","0.37%"
"May 06, 2018","-0.565","-0.565","-0.565","-0.565","-0.32%"
"May 05, 2018","-0.567","-0.564","-0.564","-0.567","0.30%"
"May 04, 2018","-0.565","-0.570","-0.557","-0.579","-1.22%"
"May 03, 2018","-0.572","-0.558","-0.551","-0.580","1.24%"
"May 02, 2018","-0.565","-0.574","-0.549","-0.578","-1.96%"
"May 01, 2018","-0.576","-0.569","-0.568","-0.576","0.58%"
"Apr 30, 2018","-0.573","-0.566","-0.544","-0.576","1.20%"
"Apr 29, 2018","-0.566","-0.566","-0.566","-0.566","0.12%"
"Apr 28, 2018","-0.566","-0.552","-0.552","-0.566","-0.26%"
"Apr 27, 2018","-0.567","-0.560","-0.542","-0.570","2.72%"
"Apr 26, 2018","-0.552","-0.544","-0.522","-0.561","3.56%"
"Apr 25, 2018","-0.533","-0.529","-0.516","-0.548","1.72%"
"Apr 24, 2018","-0.524","-0.541","-0.517","-0.550","0.38%"
"Apr 23, 2018","-0.522","-0.547","-0.522","-0.554","-5.35%"
"Apr 22, 2018","-0.552","-0.552","-0.552","-0.552","0.13%"
"Apr 21, 2018","-0.551","-0.546","-0.546","-0.551","-0.58%"
"Apr 20, 2018","-0.554","-0.541","-0.534","-0.568","-0.89%"
"Apr 19, 2018","-0.559","-0.549","-0.537","-0.570","-0.18%"
"Apr 18, 2018","-0.560","-0.564","-0.550","-0.584","-0.88%"
"Apr 17, 2018","-0.565","-0.567","-0.561","-0.583","0.71%"
"Apr 16, 2018","-0.561","-0.566","-0.551","-0.580","-3.56%"
"Apr 15, 2018","-0.582","-0.582","-0.582","-0.582","0.90%"
"Apr 14, 2018","-0.576","-0.581","-0.570","-0.581","-0.77%"
"Apr 13, 2018","-0.581","-0.558","-0.550","-0.581","4.50%"
"Apr 12, 2018","-0.556","-0.556","-0.549","-0.579","-1.07%"
"Apr 11, 2018","-0.562","-0.553","-0.547","-0.570","0.54%"
"Apr 10, 2018","-0.559","-0.573","-0.541","-0.582","-2.61%"
"Apr 09, 2018","-0.574","-0.581","-0.563","-0.585","-1.54%"
"Apr 08, 2018","-0.583","-0.583","-0.583","-0.583","0.14%"
"Apr 07, 2018","-0.582","-0.560","-0.560","-0.582","0.21%"
"Apr 06, 2018","-0.581","-0.567","-0.564","-0.585","2.11%"
"Apr 05, 2018","-0.569","-0.577","-0.561","-0.586","-1.39%"
"Apr 04, 2018","-0.577","-0.577","-0.577","-0.593","-0.52%"
"Apr 03, 2018","-0.580","-0.598","-0.576","-0.599","-2.19%"
"Apr 02, 2018","-0.593","-0.588","-0.588","-0.594","-0.24%"
"Mar 30, 2018","-0.594","-0.593","-0.588","-0.594","1.09%"
"Mar 29, 2018","-0.588","-0.583","-0.578","-0.599","0.17%"
"Mar 28, 2018","-0.587","-0.606","-0.566","-0.612","-0.84%"
"Mar 27, 2018","-0.592","-0.588","-0.565","-0.599","0.17%"
"Mar 26, 2018","-0.591","-0.586","-0.558","-0.592","-0.77%"
"Mar 25, 2018","-0.596","-0.596","-0.596","-0.596","0.13%"
"Mar 24, 2018","-0.595","-0.586","-0.586","-0.595","0.47%"
"Mar 23, 2018","-0.592","-0.566","-0.566","-0.598","0.34%"
"Mar 22, 2018","-0.590","-0.592","-0.571","-0.601","2.61%"
"Mar 21, 2018","-0.575","-0.582","-0.560","-0.586","-1.03%"
"Mar 20, 2018","-0.581","-0.589","-0.567","-0.591","0.69%"
"Mar 19, 2018","-0.577","-0.575","-0.561","-0.616","-3.91%"
"Mar 18, 2018","-0.600","-0.582","-0.582","-0.600","4.84%"
"Mar 17, 2018","-0.573","-0.600","-0.573","-0.600","-4.37%"
"Mar 16, 2018","-0.599","-0.573","-0.506","-0.601","5.46%"
"Mar 15, 2018","-0.568","-0.563","-0.556","-0.591","-1.56%"
"Mar 14, 2018","-0.577","-0.559","-0.546","-0.581","1.58%"
"Mar 13, 2018","-0.568","-0.553","-0.546","-0.579","0.53%"
"Mar 12, 2018","-0.565","-0.530","-0.528","-0.568","2.39%"
"Mar 11, 2018","-0.552","-0.552","-0.552","-0.552","0.55%"
"Mar 10, 2018","-0.549","-0.551","-0.549","-0.551","-1.47%"
"Mar 09, 2018","-0.557","-0.542","-0.528","-0.559","0.54%"
"Mar 08, 2018","-0.554","-0.541","-0.497","-0.575","2.40%"
"Mar 07, 2018","-0.541","-0.543","-0.521","-0.558","0.56%"
"Mar 06, 2018","-0.538","-0.531","-0.507","-0.554","0.19%"
"Mar 05, 2018","-0.537","-0.560","-0.529","-0.565","-0.96%"
"Mar 04, 2018","-0.542","-0.542","-0.542","-0.542","0.13%"
"Mar 03, 2018","-0.541","-0.535","-0.535","-0.541","0.00%"
"Mar 02, 2018","-0.541","-0.534","-0.528","-0.562","-1.99%"
