"Date","Price","Open","High","Low","Change %"
"May 24, 2018","-0.605","-0.610","-0.587","-0.613","4.31%"
"May 23, 2018","-0.580","-0.613","-0.580","-0.614","-5.38%"
"May 22, 2018","-0.613","-0.550","-0.550","-0.613","11.45%"
"May 21, 2018","-0.550","-0.620","-0.550","-0.620","-11.72%"
"May 20, 2018","-0.623","-0.623","-0.623","-0.623","0.00%"
"May 18, 2018","-0.623","-0.614","-0.606","-0.631","-1.11%"
"May 17, 2018","-0.630","-0.615","-0.585","-0.639","0.48%"
"May 16, 2018","-0.627","-0.610","-0.579","-0.627","3.47%"
"May 15, 2018","-0.606","-0.610","-0.577","-0.615","-2.10%"
"May 14, 2018","-0.619","-0.624","-0.560","-0.625","-2.06%"
"May 11, 2018","-0.632","-0.622","-0.613","-0.632","0.80%"
"May 10, 2018","-0.627","-0.629","-0.618","-0.629","0.32%"
"May 09, 2018","-0.625","-0.623","-0.623","-0.635","-0.48%"
"May 08, 2018","-0.628","-0.626","-0.621","-0.634","-1.10%"
"May 07, 2018","-0.635","-0.633","-0.625","-0.636","1.44%"
"May 04, 2018","-0.626","-0.645","-0.578","-0.659","-4.72%"
"May 03, 2018","-0.657","-0.660","-0.653","-0.670","0.46%"
"May 02, 2018","-0.654","-0.658","-0.649","-0.664","-1.06%"
"Apr 30, 2018","-0.661","-0.656","-0.653","-0.664","0.46%"
"Apr 27, 2018","-0.658","-0.651","-0.651","-0.658","0.15%"
"Apr 26, 2018","-0.657","-0.658","-0.642","-0.668","0.15%"
"Apr 25, 2018","-0.656","-0.655","-0.625","-0.668","-0.30%"
"Apr 24, 2018","-0.658","-0.660","-0.652","-0.665","-0.30%"
"Apr 23, 2018","-0.660","-0.654","-0.653","-0.665","0.30%"
"Apr 20, 2018","-0.658","-0.659","-0.600","-0.660","1.86%"
"Apr 19, 2018","-0.646","-0.665","-0.646","-0.666","-1.07%"
"Apr 18, 2018","-0.653","-0.655","-0.649","-0.661","-0.15%"
"Apr 17, 2018","-0.654","-0.660","-0.653","-0.664","-0.91%"
"Apr 16, 2018","-0.660","-0.654","-0.653","-0.660","0.15%"
"Apr 13, 2018","-0.659","-0.659","-0.654","-0.668","-0.15%"
"Apr 12, 2018","-0.660","-0.660","-0.656","-0.660","0.30%"
"Apr 11, 2018","-0.658","-0.651","-0.651","-0.669","-4.78%"
"Apr 10, 2018","-0.691","-0.694","-0.687","-0.704","0.88%"
"Apr 09, 2018","-0.685","-0.692","-0.681","-0.702","-0.87%"
"Apr 06, 2018","-0.691","-0.696","-0.681","-0.704","-0.29%"
"Apr 05, 2018","-0.693","-0.702","-0.687","-0.707","0.00%"
"Apr 04, 2018","-0.693","-0.683","-0.671","-0.694","2.97%"
"Apr 03, 2018","-0.673","-0.684","-0.656","-0.685","0.45%"
"Mar 29, 2018","-0.670","-0.683","-0.669","-0.689","-2.05%"
"Mar 28, 2018","-0.684","-0.681","-0.676","-0.705","-0.15%"
"Mar 27, 2018","-0.685","-0.682","-0.672","-0.687","0.59%"
"Mar 26, 2018","-0.681","-0.685","-0.679","-0.688","-0.29%"
"Mar 23, 2018","-0.683","-0.683","-0.674","-0.690","-0.87%"
"Mar 22, 2018","-0.689","-0.698","-0.678","-0.713","0.44%"
"Mar 21, 2018","-0.686","-0.682","-0.682","-0.691","0.59%"
"Mar 20, 2018","-0.682","-0.688","-0.674","-0.688","-0.44%"
"Mar 19, 2018","-0.685","-0.680","-0.674","-0.685","1.03%"
"Mar 16, 2018","-0.678","-0.676","-0.674","-0.685","0.15%"
"Mar 15, 2018","-0.677","-0.674","-0.673","-0.683","0.00%"
"Mar 14, 2018","-0.677","-0.680","-0.673","-0.685","0.00%"
"Mar 13, 2018","-0.677","-0.679","-0.672","-0.681","0.45%"
"Mar 12, 2018","-0.674","-0.695","-0.665","-0.702","-2.88%"
"Mar 09, 2018","-0.694","-0.701","-0.683","-0.703","-1.28%"
"Mar 08, 2018","-0.703","-0.708","-0.693","-0.708","0.72%"
"Mar 07, 2018","-0.698","-0.680","-0.646","-0.703","2.65%"
"Mar 06, 2018","-0.680","-0.674","-0.672","-0.685","1.49%"
"Mar 05, 2018","-0.670","-0.648","-0.602","-0.680","4.04%"
"Mar 02, 2018","-0.644","-0.635","-0.630","-0.662","1.58%"
"Mar 01, 2018","-0.634","-0.641","-0.631","-0.645","0.00%"
"Feb 28, 2018","-0.634","-0.638","-0.623","-0.645","0.16%"
"Feb 27, 2018","-0.633","-0.634","-0.613","-0.648","0.48%"
"Feb 26, 2018","-0.630","-0.624","-0.616","-0.644","0.32%"
"Feb 23, 2018","-0.628","-0.628","-0.621","-0.629","0.16%"
"Feb 22, 2018","-0.627","-0.637","-0.619","-0.637","0.80%"
"Feb 21, 2018","-0.622","-0.630","-0.618","-0.633","0.00%"
"Feb 20, 2018","-0.622","-0.632","-0.614","-0.633","-0.64%"
"Feb 19, 2018","-0.626","-0.642","-0.622","-0.649","-1.57%"
"Feb 18, 2018","-0.636","-0.636","-0.636","-0.636","0.00%"
"Feb 16, 2018","-0.636","-0.638","-0.624","-0.641","0.16%"
"Feb 15, 2018","-0.635","-0.674","-0.630","-0.674","-5.22%"
"Feb 14, 2018","-0.670","-0.672","-0.668","-0.705","-0.45%"
"Feb 13, 2018","-0.673","-0.669","-0.669","-0.735","-1.17%"
"Feb 12, 2018","-0.681","-0.681","-0.667","-0.750","-5.42%"
"Feb 09, 2018","-0.720","-0.677","-0.677","-0.720","1.27%"
"Feb 08, 2018","-0.711","-0.674","-0.674","-0.780","2.75%"
"Feb 07, 2018","-0.692","-0.664","-0.664","-0.787","5.01%"
"Feb 06, 2018","-0.659","-0.664","-0.659","-0.664","-7.18%"
"Feb 05, 2018","-0.710","-0.661","-0.661","-0.811","2.31%"
"Feb 02, 2018","-0.694","-0.658","-0.658","-0.870","4.05%"
"Feb 01, 2018","-0.667","-0.748","-0.656","-0.848","-6.97%"
"Jan 31, 2018","-0.717","-0.736","-0.693","-0.745","1.13%"
"Jan 30, 2018","-0.709","-0.733","-0.679","-0.826","0.85%"
"Jan 29, 2018","-0.703","-0.729","-0.693","-0.775","1.59%"
"Jan 26, 2018","-0.692","-0.725","-0.688","-0.739","-1.56%"
"Jan 25, 2018","-0.703","-0.722","-0.693","-0.737","-0.57%"
"Jan 24, 2018","-0.707","-0.712","-0.700","-0.782","0.00%"
"Jan 23, 2018","-0.707","-0.708","-0.694","-0.847","1.00%"
"Jan 22, 2018","-0.700","-0.705","-0.694","-0.736","-1.41%"
"Jan 19, 2018","-0.710","-0.702","-0.697","-0.838","2.01%"
"Jan 18, 2018","-0.696","-0.727","-0.688","-0.825","-1.69%"
"Jan 17, 2018","-0.708","-0.717","-0.676","-0.766","-0.84%"
"Jan 16, 2018","-0.714","-0.714","-0.689","-0.745","0.14%"
"Jan 15, 2018","-0.713","-0.711","-0.681","-0.770","3.78%"
"Jan 12, 2018","-0.687","-0.708","-0.672","-0.823","-3.38%"
"Jan 11, 2018","-0.711","-0.705","-0.682","-0.831","2.45%"
