"Date","Price","Open","High","Low","Change %"
"May 24, 2018","2.981","3.001","3.014","2.955","-0.45%"
"May 23, 2018","2.994","3.058","3.065","2.990","-2.25%"
"May 22, 2018","3.063","3.058","3.080","3.050","0.16%"
"May 21, 2018","3.058","3.080","3.084","3.054","-0.71%"
"May 20, 2018","3.080","3.060","3.080","3.060","0.65%"
"May 18, 2018","3.060","3.119","3.128","3.058","-1.77%"
"May 17, 2018","3.115","3.098","3.122","3.087","0.35%"
"May 16, 2018","3.104","3.070","3.104","3.058","1.04%"
"May 15, 2018","3.072","3.004","3.095","2.997","2.33%"
"May 14, 2018","3.002","2.975","3.004","2.959","0.91%"
"May 13, 2018","2.975","2.970","2.977","2.970","0.17%"
"May 11, 2018","2.970","2.966","2.982","2.948","0.20%"
"May 10, 2018","2.964","2.995","2.995","2.948","-1.40%"
"May 09, 2018","3.006","2.976","3.014","2.976","1.14%"
"May 08, 2018","2.972","2.952","2.987","2.944","0.68%"
"May 07, 2018","2.952","2.951","2.961","2.937","-0.05%"
"May 06, 2018","2.953","2.951","2.957","2.951","0.08%"
"May 04, 2018","2.951","2.950","2.965","2.911","0.10%"
"May 03, 2018","2.948","2.970","2.978","2.927","-0.94%"
"May 02, 2018","2.976","2.968","2.996","2.957","0.27%"
"May 01, 2018","2.968","2.959","2.979","2.949","0.44%"
"Apr 30, 2018","2.955","2.966","2.972","2.934","-0.13%"
"Apr 29, 2018","2.959","2.959","2.959","2.959","0.00%"
"Apr 27, 2018","2.959","2.987","2.988","2.955","-0.80%"
"Apr 26, 2018","2.983","3.024","3.033","2.981","-1.58%"
"Apr 25, 2018","3.031","2.994","3.035","2.990","1.07%"
"Apr 24, 2018","2.999","2.975","3.003","2.957","0.74%"
"Apr 23, 2018","2.977","2.968","2.998","2.962","0.32%"
"Apr 22, 2018","2.968","2.960","2.970","2.960","0.26%"
"Apr 20, 2018","2.960","2.917","2.962","2.904","1.61%"
"Apr 19, 2018","2.913","2.875","2.934","2.862","1.32%"
"Apr 18, 2018","2.875","2.829","2.876","2.823","1.59%"
"Apr 17, 2018","2.830","2.832","2.849","2.814","0.04%"
"Apr 16, 2018","2.829","2.841","2.865","2.825","-0.50%"
"Apr 15, 2018","2.843","2.825","2.845","2.825","0.64%"
"Apr 13, 2018","2.825","2.827","2.849","2.816","-0.63%"
"Apr 12, 2018","2.843","2.783","2.843","2.772","2.30%"
"Apr 11, 2018","2.779","2.803","2.805","2.755","-0.79%"
"Apr 10, 2018","2.801","2.783","2.812","2.779","0.72%"
"Apr 09, 2018","2.781","2.786","2.814","2.772","-0.19%"
"Apr 08, 2018","2.786","2.775","2.788","2.775","0.41%"
"Apr 06, 2018","2.775","2.817","2.830","2.768","-2.08%"
"Apr 05, 2018","2.834","2.808","2.838","2.805","0.93%"
"Apr 04, 2018","2.808","2.773","2.810","2.748","0.97%"
"Apr 03, 2018","2.781","2.737","2.790","2.735","1.76%"
"Apr 02, 2018","2.733","2.759","2.773","2.717","-1.00%"
"Apr 01, 2018","2.761","2.755","2.763","2.755","0.72%"
"Mar 29, 2018","2.741","2.784","2.792","2.739","-1.51%"
"Mar 28, 2018","2.783","2.781","2.790","2.743","0.29%"
"Mar 27, 2018","2.775","2.854","2.859","2.770","-2.70%"
"Mar 26, 2018","2.852","2.819","2.856","2.815","1.11%"
"Mar 25, 2018","2.821","2.817","2.823","2.817","0.28%"
"Mar 23, 2018","2.813","2.806","2.852","2.792","-0.35%"
"Mar 22, 2018","2.823","2.881","2.889","2.799","-2.01%"
"Mar 21, 2018","2.881","2.890","2.936","2.870","-0.66%"
"Mar 20, 2018","2.900","2.855","2.901","2.852","1.54%"
"Mar 19, 2018","2.856","2.857","2.879","2.833","0.00%"
"Mar 18, 2018","2.855","2.845","2.920","2.845","0.37%"
"Mar 16, 2018","2.845","2.830","2.859","2.810","0.67%"
"Mar 15, 2018","2.826","2.819","2.835","2.797","0.25%"
"Mar 14, 2018","2.819","2.841","2.857","2.801","-0.88%"
"Mar 13, 2018","2.844","2.872","2.883","2.830","-0.77%"
"Mar 12, 2018","2.866","2.905","2.910","2.863","-1.34%"
"Mar 11, 2018","2.905","2.896","2.908","2.896","0.30%"
"Mar 09, 2018","2.896","2.872","2.914","2.868","1.37%"
"Mar 08, 2018","2.857","2.885","2.892","2.848","-0.83%"
"Mar 07, 2018","2.881","2.848","2.888","2.842","-0.17%"
"Mar 06, 2018","2.886","2.880","2.906","2.857","0.10%"
"Mar 05, 2018","2.883","2.850","2.897","2.810","1.23%"
"Mar 04, 2018","2.848","2.850","2.850","2.846","-0.70%"
"Mar 02, 2018","2.868","2.819","2.870","2.793","2.03%"
"Mar 01, 2018","2.811","2.866","2.875","2.795","-1.85%"
"Feb 28, 2018","2.864","2.901","2.912","2.862","-1.28%"
"Feb 27, 2018","2.901","2.861","2.925","2.850","1.29%"
"Feb 26, 2018","2.864","2.875","2.875","2.831","-0.39%"
"Feb 25, 2018","2.875","2.866","2.879","2.866","0.32%"
"Feb 23, 2018","2.866","2.926","2.937","2.861","-1.82%"
"Feb 22, 2018","2.919","2.946","2.948","2.904","-1.12%"
"Feb 21, 2018","2.952","2.891","2.957","2.877","2.11%"
"Feb 20, 2018","2.891","2.891","2.928","2.884","0.05%"
"Feb 19, 2018","2.889","2.888","2.891","2.888","0.57%"
"Feb 18, 2018","2.873","2.873","2.873","2.873","0.00%"
"Feb 16, 2018","2.873","2.909","2.911","2.849","-1.14%"
"Feb 15, 2018","2.906","2.909","2.944","2.882","-0.24%"
