"Date","Price","Open","High","Low","Change %"
"May 24, 2018","2.090","2.105","2.116","2.082","-0.50%"
"May 23, 2018","2.100","2.121","2.136","2.100","-1.34%"
"May 22, 2018","2.129","2.131","2.144","2.121","-0.12%"
"May 21, 2018","2.131","2.079","2.131","2.079","2.26%"
"May 20, 2018","2.084","2.087","2.087","2.084","-0.13%"
"May 18, 2018","2.087","2.079","2.097","2.079","0.00%"
"May 17, 2018","2.087","2.079","2.095","2.079","0.10%"
"May 16, 2018","2.085","2.079","2.100","2.079","0.00%"
"May 15, 2018","2.085","2.085","2.100","2.085","1.31%"
"May 14, 2018","2.058","2.038","2.079","2.038","0.36%"
"May 13, 2018","2.051","2.053","2.053","2.051","0.00%"
"May 11, 2018","2.051","2.038","2.058","2.038","0.00%"
"May 10, 2018","2.051","2.038","2.064","2.038","-0.49%"
"May 09, 2018","2.061","2.043","2.064","2.043","0.88%"
"May 08, 2018","2.043","2.043","2.062","2.043","0.54%"
"May 07, 2018","2.032","2.038","2.040","2.030","-0.28%"
"May 06, 2018","2.038","2.038","2.038","2.038","0.38%"
"May 04, 2018","2.030","2.017","2.035","2.017","0.35%"
"May 03, 2018","2.023","2.033","2.059","2.023","-0.25%"
"May 02, 2018","2.028","2.033","2.041","2.025","-0.39%"
"May 01, 2018","2.036","2.038","2.049","2.036","1.19%"
"Apr 30, 2018","2.012","2.027","2.027","2.009","-0.38%"
"Apr 29, 2018","2.020","2.020","2.020","2.020","0.38%"
"Apr 27, 2018","2.012","2.023","2.033","2.009","-0.25%"
"Apr 26, 2018","2.017","2.038","2.048","2.007","-0.64%"
"Apr 25, 2018","2.030","2.043","2.049","2.025","-0.54%"
"Apr 24, 2018","2.041","2.168","2.168","2.038","1.34%"
"Apr 23, 2018","2.014","2.004","2.020","1.999","0.36%"
"Apr 22, 2018","2.007","2.007","2.007","2.007","-0.11%"
"Apr 20, 2018","2.009","2.001","2.017","1.999","-0.05%"
"Apr 19, 2018","2.010","1.997","2.017","1.994","0.40%"
"Apr 18, 2018","2.002","1.986","2.015","1.986","0.25%"
"Apr 17, 2018","1.997","1.997","2.004","1.989","1.63%"
"Apr 16, 2018","1.965","1.955","1.976","1.955","0.38%"
"Apr 15, 2018","1.958","1.960","1.960","1.958","-0.12%"
"Apr 13, 2018","1.960","1.945","1.963","1.945","0.51%"
"Apr 12, 2018","1.950","1.924","1.950","1.924","1.04%"
"Apr 11, 2018","1.930","1.932","1.940","1.924","-0.26%"
"Apr 10, 2018","1.935","1.924","1.940","1.919","1.26%"
"Apr 09, 2018","1.911","1.903","1.914","1.893","0.27%"
"Apr 08, 2018","1.906","1.906","1.906","1.906","0.26%"
"Apr 06, 2018","1.901","1.903","1.919","1.898","-0.83%"
"Apr 05, 2018","1.917","1.898","1.922","1.898","0.68%"
"Apr 04, 2018","1.904","1.919","1.932","1.904","-0.94%"
"Apr 03, 2018","1.922","1.942","1.950","1.922","0.16%"
"Apr 02, 2018","1.919","1.932","1.942","1.919","-0.39%"
"Apr 01, 2018","1.927","1.927","1.927","1.927","0.00%"
"Mar 29, 2018","1.927","1.924","1.945","1.919","-0.52%"
"Mar 28, 2018","1.937","1.935","1.958","1.927","0.00%"
"Mar 27, 2018","1.937","1.948","1.950","1.932","0.94%"
"Mar 26, 2018","1.919","1.903","1.934","1.903","0.28%"
"Mar 25, 2018","1.914","1.908","1.914","1.908","0.14%"
"Mar 23, 2018","1.911","1.924","1.955","1.906","-1.09%"
"Mar 22, 2018","1.932","1.945","1.950","1.932","-0.92%"
"Mar 21, 2018","1.950","1.971","1.999","1.940","-0.91%"
"Mar 20, 2018","1.968","1.984","1.999","1.966","0.15%"
"Mar 19, 2018","1.965","1.950","1.970","1.947","0.51%"
"Mar 18, 2018","1.955","1.955","1.955","1.955","0.26%"
"Mar 16, 2018","1.950","1.950","1.952","1.945","0.26%"
"Mar 15, 2018","1.945","1.950","1.950","1.940","0.41%"
"Mar 14, 2018","1.937","1.904","1.955","1.904","1.47%"
"Mar 13, 2018","1.909","1.904","1.911","1.896","1.81%"
"Mar 12, 2018","1.875","1.883","1.893","1.872","-0.55%"
"Mar 11, 2018","1.885","1.878","1.885","1.878","0.28%"
"Mar 09, 2018","1.880","1.878","1.890","1.878","0.00%"
"Mar 08, 2018","1.880","1.873","1.886","1.870","0.00%"
"Mar 07, 2018","1.880","1.868","1.886","1.868","0.27%"
"Mar 06, 2018","1.875","1.862","1.880","1.862","1.41%"
"Mar 05, 2018","1.849","1.841","1.865","1.841","-0.15%"
"Mar 04, 2018","1.852","1.849","1.852","1.849","0.42%"
"Mar 02, 2018","1.844","1.849","1.852","1.836","0.27%"
"Mar 01, 2018","1.839","1.847","1.860","1.834","-0.86%"
"Feb 28, 2018","1.855","1.870","1.880","1.849","-0.96%"
"Feb 27, 2018","1.873","1.868","1.883","1.865","1.13%"
"Feb 26, 2018","1.852","1.847","1.862","1.841","-0.26%"
"Feb 25, 2018","1.857","1.852","1.857","1.852","0.54%"
"Feb 23, 2018","1.847","1.852","1.862","1.841","0.00%"
"Feb 22, 2018","1.847","1.842","1.867","1.842","-0.16%"
"Feb 21, 2018","1.850","1.862","1.888","1.847","1.04%"
"Feb 20, 2018","1.831","1.831","1.852","1.823","-0.28%"
"Feb 19, 2018","1.836","1.831","1.836","1.831","0.28%"
"Feb 18, 2018","1.831","1.831","1.831","1.831","0.00%"
"Feb 16, 2018","1.831","1.816","1.834","1.816","0.55%"
"Feb 15, 2018","1.821","1.811","1.829","1.803","1.00%"
"Feb 14, 2018","1.803","1.806","1.813","1.795","0.00%"
"Feb 13, 2018","1.803","1.816","1.868","1.798","1.01%"
"Feb 12, 2018","1.785","1.728","1.795","1.710","2.23%"
